problem,brand,repair_status,event_year,age
unknown,lenovo,fixed,2019,0.0
virus/malware,lenovo,fixed,2018,0.0
operating system,geo,fixed,2019,0.0
multiple,hp,fixed,2019,0.0
virus/malware,hp,fixed,2018,0.0
integrated screen,hp,fixed,2020,0.0
integrated screen,acer,repairable,2020,0.0
operating system,hp,repairable,2018,0.0
integrated screen,lenovo,repairable,2018,0.0
configuration,lenovo,fixed,2019,0.0
ports/slots/connectors,asus,repairable,2019,0.0
unknown,acer,repairable,2020,0.0
unknown,intel,fixed,2017,0.0
virus/malware,acer,repairable,2019,0.0
configuration,ace,repairable,2019,0.0
unknown,acer,repairable,2018,1.0
performance,acer,repairable,2019,1.0
configuration,hp,fixed,2019,1.0
configuration,microsoft,fixed,2019,1.0
unknown,hp,fixed,2020,1.0
internal damage,lenovo,fixed,2019,1.0
operating system,hp,fixed,2020,1.0
integrated screen,microsoft,repairable,2019,1.0
configuration,lenovo,fixed,2020,1.0
configuration,lenovo,fixed,2019,1.0
performance,lenovo,repairable,2019,1.0
configuration,hp,fixed,2018,1.0
system board,hp,fixed,2019,1.0
unknown,acer,fixed,2020,1.0
unknown,dell,repairable,2020,1.0
integrated screen,dell,repairable,2018,1.0
unknown,asus,repairable,2017,1.0
configuration,hp,repairable,2018,1.0
unknown,unknown,fixed,2018,1.0
other,fujitsu,fixed,2019,1.0
configuration,asus,end of life,2017,1.0
integrated screen,hp,repairable,2019,1.0
power/battery,lenovo,fixed,2019,1.0
unknown,unknown,fixed,2019,1.0
configuration,hp,fixed,2019,1.0
virus/malware,apple,fixed,2018,1.0
operating system,toshiba,fixed,2017,2.0
configuration,apple,fixed,2019,2.0
unknown,hp,repairable,2017,2.0
integrated keyboard,acer,repairable,2019,2.0
configuration,hp,fixed,2020,2.0
power/battery,apple,repairable,2019,2.0
configuration,moto-flex,fixed,2019,2.0
case/chassis,asus,fixed,2018,2.0
configuration,hp,fixed,2019,2.0
power/battery,asus,end of life,2019,2.0
configuration,unknown,fixed,2019,2.0
performance,lenovo,fixed,2019,2.0
unknown,acer,fixed,2020,2.0
unknown,unknown,repairable,2019,2.0
integrated keyboard,acer,repairable,2019,2.0
operating system,hp,fixed,2019,2.0
configuration,packard bell,fixed,2017,2.0
internal storage,lenovo,fixed,2019,2.0
configuration,lenovo,fixed,2019,2.0
configuration,hp,repairable,2019,2.0
case/chassis,lenovo,repairable,2019,2.0
operating system,hp,fixed,2019,2.0
case/chassis,asus,repairable,2019,2.0
integrated screen,hp,repairable,2019,2.0
integrated keyboard,asus,repairable,2019,2.0
unknown,hp,repairable,2020,2.0
internal storage,toshiba,repairable,2019,2.0
ports/slots/connectors,hp,fixed,2019,2.0
internal storage,acer,repairable,2019,2.0
integrated screen,zoostorm,fixed,2020,2.0
integrated screen,acer,repairable,2017,2.0
internal damage,asus,fixed,2019,2.0
boot,asus,unknown,2019,2.0
power/battery,apple,fixed,2019,2.0
internal damage,apple,repairable,2018,2.0
ports/slots/connectors,hp,fixed,2019,2.0
power/battery,apple,repairable,2019,2.0
configuration,unknown,fixed,2018,2.0
power/battery,apple,repairable,2019,2.0
integrated keyboard,unknown,repairable,2019,2.0
multiple,lenovo,end of life,2019,2.0
configuration,nec,fixed,2018,2.0
integrated screen,unknown,repairable,2019,2.0
boot,apple,repairable,2019,2.0
configuration,unknown,fixed,2019,2.0
integrated keyboard,lenovo,repairable,2019,2.0
integrated screen,asus,fixed,2018,2.0
configuration,asus,fixed,2019,2.0
boot,asus,repairable,2018,2.0
power/battery,dell,repairable,2018,2.0
case/chassis,dell,repairable,2018,2.0
overheating,asus,repairable,2018,2.0
unknown,acer,fixed,2018,2.0
integrated screen,google,repairable,2019,2.0
internal damage,asus,end of life,2019,2.0
boot,hp,repairable,2019,2.0
unknown,lenovo,fixed,2017,2.0
configuration,apple,repairable,2019,2.0
internal damage,unknown,unknown,2019,2.0
operating system,asus,fixed,2020,2.0
configuration,apple,fixed,2019,2.0
unknown,asus,fixed,2018,2.0
unknown,hp,fixed,2017,2.0
power/battery,dell,fixed,2018,2.0
boot,dell,repairable,2019,2.0
configuration,microsoft,repairable,2020,2.0
internal damage,lenovo,fixed,2019,2.0
unknown,goclever,fixed,2018,2.0
unknown,asus,repairable,2019,2.0
integrated screen,lenovo,fixed,2019,2.0
boot,hp,repairable,2018,2.0
performance,hp,fixed,2017,2.0
performance,lenovo,fixed,2019,3.0
unknown,unknown,end of life,2019,3.0
other,lenovo,fixed,2019,3.0
configuration,hp,fixed,2019,3.0
integrated keyboard,akoya,fixed,2019,3.0
ports/slots/connectors,samsung,repairable,2018,3.0
performance,lenovo,repairable,2019,3.0
configuration,unknown,fixed,2019,3.0
boot,asus,repairable,2019,3.0
power/battery,unknown,end of life,2019,3.0
integrated screen,lenovo,fixed,2019,3.0
