country,product_category,brand,year_of_manufacture,product_age,repair_status,year_repaired
gbr,aircon/dehumidifier,delonghi,2013.0,6.0,end of life,2019
nld,kettle,royal swiss,2019.0,0.0,fixed,2019
swe,mobile,apple,2015.0,3.0,repairable,2018
ita,desktop computer,dell,2011.0,10.0,fixed,2021
bel,power tool,makita,2015.0,4.0,end of life,2019
deu,power tool,unknown,,,fixed,2017
deu,toy,playmobil,,,unknown,2017
deu,hair dryer,unknown,,,fixed,2017
deu,decorative or safety lights,unknown,,,fixed,2017
deu,lamp,unknown,,,fixed,2017
deu,portable radio,unknown,,,fixed,2017
deu,handheld entertainment device,unknown,,,unknown,2017
deu,food processor,krups,,,fixed,2017
deu,handheld entertainment device,unknown,,,repairable,2017
deu,small home electrical,unknown,,,fixed,2017
deu,power tool,unknown,,,fixed,2017
deu,hair & beauty item,unknown,,,repairable,2017
deu,hair dryer,unknown,,,fixed,2017
deu,misc,unknown,,,unknown,2017
deu,sewing machine,unknown,,,fixed,2017
deu,watch/clock,unknown,,,fixed,2017
deu,misc,unknown,,,repairable,2017
deu,hi-fi separates,unknown,,,repairable,2017
deu,desktop computer,unknown,,,fixed,2017
deu,sewing machine,unknown,,,fixed,2017
deu,hi-fi separates,unknown,,,repairable,2017
deu,misc,unknown,,,unknown,2017
deu,battery/charger/adapter,unknown,,,unknown,2017
deu,misc,unknown,,,fixed,2017
deu,misc,unknown,,,repairable,2017
deu,small kitchen item,unknown,,,repairable,2017
deu,misc,unknown,,,unknown,2017
deu,misc,unknown,,,fixed,2017
deu,portable radio,unknown,,,fixed,2017
deu,handheld entertainment device,unknown,,,unknown,2017
deu,food processor,unknown,,,fixed,2017
deu,vacuum,unknown,,,fixed,2017
deu,misc,unknown,,,fixed,2017
deu,tv and gaming-related accessories,unknown,,,unknown,2017
deu,coffee maker,unknown,,,repairable,2017
deu,small home electrical,unknown,,,unknown,2017
deu,kettle,unknown,,,fixed,2017
deu,iron,unknown,,,repairable,2017
deu,digital compact camera,unknown,,,repairable,2017
deu,misc,unknown,,,fixed,2017
deu,misc,unknown,,,fixed,2017
