Index,Occupation title (click on the occupation title to view its profile),Year,Employment,Average hourly wage,Industry average,Similar occupation average
0,Management Occupations - Top Executives - Chief Executives,2021,200480,$102.41,$59.31,$57.94
1,Management Occupations - Top Executives - General and Operations Managers,2021,2984920,$55.41,$59.31,$57.94
2,Management Occupations - Top Executives - Legislators,2021,44590,NaN,$59.31,$57.94
3,"Management Occupations - Advertising, Marketing, Promotions, Public Relations, and Sales Managers - Advertising and Promotions Managers",2021,22520,$68.68,$59.31,$69.77
4,"Management Occupations - Advertising, Marketing, Promotions, Public Relations, and Sales Managers - Marketing Managers",2021,278690,$73.77,$59.31,$69.77
5,"Management Occupations - Advertising, Marketing, Promotions, Public Relations, and Sales Managers - Sales Managers",2021,453800,$68.46,$59.31,$69.77
6,"Management Occupations - Advertising, Marketing, Promotions, Public Relations, and Sales Managers - Public Relations Managers",2021,59850,$66.35,$59.31,$69.77
7,"Management Occupations - Advertising, Marketing, Promotions, Public Relations, and Sales Managers - Fundraising Managers",2021,23190,$57.40,$59.31,$69.77
8,Management Occupations - Operations Specialties Managers - Administrative Services Managers,2021,224620,$54.34,$59.31,$67.26
9,Management Occupations - Operations Specialties Managers - Facilities Managers,2021,101230,$49.03,$59.31,$67.26
10,Management Occupations - Operations Specialties Managers - Computer and Information Systems Managers,2021,485190,$78.33,$59.31,$67.26
11,Management Occupations - Operations Specialties Managers - Financial Managers,2021,681070,$73.78,$59.31,$67.26
12,Management Occupations - Operations Specialties Managers - Industrial Production Managers,2021,192270,$56.62,$59.31,$67.26
13,Management Occupations - Operations Specialties Managers - Purchasing Managers,2021,69310,$64.71,$59.31,$67.26
14,"Management Occupations - Operations Specialties Managers - Transportation, Storage, and Distribution Managers",2021,144640,$50.76,$59.31,$67.26
15,Management Occupations - Operations Specialties Managers - Compensation and Benefits Managers,2021,15330,$67.05,$59.31,$67.26
16,Management Occupations - Operations Specialties Managers - Human Resources Managers,2021,166530,$65.67,$59.31,$67.26
17,Management Occupations - Operations Specialties Managers - Training and Development Managers,2021,35830,$61.92,$59.31,$67.26
18,"Management Occupations - Other Management Occupations - Farmers, Ranchers, and Other Agricultural Managers",2021,5220,$37.71,$59.31,$51.55
19,Management Occupations - Other Management Occupations - Construction Managers,2021,284750,$52.02,$59.31,$51.55
20,"Management Occupations - Other Management Occupations - Education and Childcare Administrators, Preschool and Daycare",2021,56430,$25.87,$59.31,$51.55
21,"Management Occupations - Other Management Occupations - Education Administrators, Kindergarten through Secondary",2021,274710,NaN,$59.31,$51.55
22,"Management Occupations - Other Management Occupations - Education Administrators, Postsecondary",2021,155990,$53.49,$59.31,$51.55
23,"Management Occupations - Other Management Occupations - Education Administrators, All Other",2021,49970,$45.54,$59.31,$51.55
24,Management Occupations - Other Management Occupations - Architectural and Engineering Managers,2021,187100,$76.43,$59.31,$51.55
25,Management Occupations - Other Management Occupations - Food Service Managers,2021,210680,$30.75,$59.31,$51.55
26,Management Occupations - Other Management Occupations - Gambling Managers,2021,3660,$42.88,$59.31,$51.55
27,"Management Occupations - Other Management Occupations - Entertainment and Recreation Managers, Except Gambling",2021,17800,$35.48,$59.31,$51.55
28,Management Occupations - Other Management Occupations - Lodging Managers,2021,35920,$32.58,$59.31,$51.55
29,Management Occupations - Other Management Occupations - Medical and Health Services Managers,2021,436770,$57.61,$59.31,$51.55
30,Management Occupations - Other Management Occupations - Natural Sciences Managers,2021,74760,$75.05,$59.31,$51.55
31,Management Occupations - Other Management Occupations - Postmasters and Mail Superintendents,2021,12750,$39.34,$59.31,$51.55
32,"Management Occupations - Other Management Occupations - Property, Real Estate, and Community Association Managers",2021,234680,$33.67,$59.31,$51.55
33,Management Occupations - Other Management Occupations - Social and Community Service Managers,2021,156400,$36.92,$59.31,$51.55
34,Management Occupations - Other Management Occupations - Emergency Management Directors,2021,10320,$40.77,$59.31,$51.55
35,Management Occupations - Other Management Occupations - Funeral Home Managers,2021,12710,$39.86,$59.31,$51.55
36,"Management Occupations - Other Management Occupations - Personal Service Managers, All Other",2021,7350,$28.65,$59.31,$51.55
37,"Management Occupations - Other Management Occupations - Managers, All Other",2021,497890,$62.36,$59.31,$51.55
38,"Business and Financial Operations Occupations - Business Operations Specialists - Agents and Business Managers of Artists, Performers, and Athletes",2021,12480,$55.97,$39.72,$38.64
39,"Business and Financial Operations Occupations - Business Operations Specialists - Claims Adjusters, Examiners, and Investigators",2021,278140,$34.11,$39.72,$38.64
40,"Business and Financial Operations Occupations - Business Operations Specialists - Insurance Appraisers, Auto Damage",2021,11430,$32.78,$39.72,$38.64
41,Business and Financial Operations Occupations - Business Operations Specialists - Compliance Officers,2021,334340,$36.45,$39.72,$38.64
42,Business and Financial Operations Occupations - Business Operations Specialists - Cost Estimators,2021,208950,$35.45,$39.72,$38.64
43,Business and Financial Operations Occupations - Business Operations Specialists - Human Resources Specialists,2021,740830,$34.00,$39.72,$38.64
44,Business and Financial Operations Occupations - Business Operations Specialists - Farm Labor Contractors,2021,440,$26.16,$39.72,$38.64
45,Business and Financial Operations Occupations - Business Operations Specialists - Labor Relations Specialists,2021,63810,$37.05,$39.72,$38.64
46,Business and Financial Operations Occupations - Business Operations Specialists - Logisticians,2021,189320,$38.09,$39.72,$38.64
47,Business and Financial Operations Occupations - Business Operations Specialists - Project Management Specialists,2021,743860,$47.32,$39.72,$38.64
48,Business and Financial Operations Occupations - Business Operations Specialists - Management Analysts,2021,768450,$48.33,$39.72,$38.64
49,"Business and Financial Operations Occupations - Business Operations Specialists - Meeting, Convention, and Event Planners",2021,98150,$27.81,$39.72,$38.64
50,Business and Financial Operations Occupations - Business Operations Specialists - Fundraisers,2021,82080,$31.19,$39.72,$38.64
51,"Business and Financial Operations Occupations - Business Operations Specialists - Compensation, Benefits, and Job Analysis Specialists",2021,87750,$35.49,$39.72,$38.64
52,Business and Financial Operations Occupations - Business Operations Specialists - Training and Development Specialists,2021,336030,$32.51,$39.72,$38.64
53,Business and Financial Operations Occupations - Business Operations Specialists - Market Research Analysts and Marketing Specialists,2021,727540,$36.58,$39.72,$38.64
54,"Business and Financial Operations Occupations - Business Operations Specialists - Business Operations Specialists, All Other",2021,1030330,$38.10,$39.72,$38.64
55,Business and Financial Operations Occupations - Financial Specialists - Accountants and Auditors,2021,1318550,$40.37,$39.72,$41.99
56,Business and Financial Operations Occupations - Financial Specialists - Budget Analysts,2021,47440,$40.50,$39.72,$41.99
57,Business and Financial Operations Occupations - Financial Specialists - Credit Analysts,2021,68770,$42.32,$39.72,$41.99
58,Business and Financial Operations Occupations - Financial Specialists - Financial and Investment Analysts,2021,291880,$49.53,$39.72,$41.99
59,Business and Financial Operations Occupations - Financial Specialists - Personal Financial Advisors,2021,263030,$57.67,$39.72,$41.99
60,Business and Financial Operations Occupations - Financial Specialists - Insurance Underwriters,2021,107690,$38.43,$39.72,$41.99
61,Business and Financial Operations Occupations - Financial Specialists - Financial Risk Specialists,2021,54320,$53.18,$39.72,$41.99
62,Business and Financial Operations Occupations - Financial Specialists - Financial Examiners,2021,60750,$46.24,$39.72,$41.99
63,Business and Financial Operations Occupations - Financial Specialists - Credit Counselors,2021,31230,$24.25,$39.72,$41.99
64,Business and Financial Operations Occupations - Financial Specialists - Loan Officers,2021,340170,$38.74,$39.72,$41.99
65,"Business and Financial Operations Occupations - Financial Specialists - Tax Examiners and Collectors, and Revenue Agents",2021,52270,$30.38,$39.72,$41.99
66,Business and Financial Operations Occupations - Financial Specialists - Tax Preparers,2021,83190,$24.56,$39.72,$41.99
67,"Business and Financial Operations Occupations - Financial Specialists - Financial Specialists, All Other",2021,123200,$38.64,$39.72,$41.99
68,Computer and Mathematical Occupations - Computer Occupations - Computer Systems Analysts,2021,505150,$49.14,$48.01,$47.89
69,Computer and Mathematical Occupations - Computer Occupations - Information Security Analysts,2021,157220,$54.46,$48.01,$47.89
70,Computer and Mathematical Occupations - Computer Occupations - Computer and Information Research Scientists,2021,30840,$68.58,$48.01,$47.89
71,Computer and Mathematical Occupations - Computer Occupations - Computer Network Support Specialists,2021,176200,$34.30,$48.01,$47.89
72,Computer and Mathematical Occupations - Computer Occupations - Computer User Support Specialists,2021,654310,$27.72,$48.01,$47.89
73,Computer and Mathematical Occupations - Computer Occupations - Computer Network Architects,2021,168830,$58.01,$48.01,$47.89
74,Computer and Mathematical Occupations - Computer Occupations - Database Administrators,2021,85870,$46.42,$48.01,$47.89
75,Computer and Mathematical Occupations - Computer Occupations - Database Architects,2021,50440,$58.58,$48.01,$47.89
76,Computer and Mathematical Occupations - Computer Occupations - Network and Computer Systems Administrators,2021,316760,$43.87,$48.01,$47.89
77,Computer and Mathematical Occupations - Computer Occupations - Computer Programmers,2021,152610,$46.46,$48.01,$47.89
78,Computer and Mathematical Occupations - Computer Occupations - Software Developers,2021,1364180,$58.17,$48.01,$47.89
79,Computer and Mathematical Occupations - Computer Occupations - Software Quality Assurance Analysts and Testers,2021,190120,$46.97,$48.01,$47.89
80,Computer and Mathematical Occupations - Computer Occupations - Web Developers,2021,84820,$39.09,$48.01,$47.89
81,Computer and Mathematical Occupations - Computer Occupations - Web and Digital Interface Designers,2021,82380,$45.90,$48.01,$47.89
82,"Computer and Mathematical Occupations - Computer Occupations - Computer Occupations, All Other",2021,370190,$47.20,$48.01,$47.89
83,Computer and Mathematical Occupations - Mathematical Science Occupations - Actuaries,2021,23040,$60.24,$48.01,$49.90
84,Computer and Mathematical Occupations - Mathematical Science Occupations - Mathematicians,2021,1770,$54.05,$48.01,$49.90
85,Computer and Mathematical Occupations - Mathematical Science Occupations - Operations Research Analysts,2021,98700,$46.07,$48.01,$49.90
86,Computer and Mathematical Occupations - Mathematical Science Occupations - Statisticians,2021,31370,$47.81,$48.01,$49.90
87,Computer and Mathematical Occupations - Mathematical Science Occupations - Data Scientists,2021,105980,$52.24,$48.01,$49.90
88,"Computer and Mathematical Occupations - Mathematical Science Occupations - Mathematical Science Occupations, All Other",2021,3970,$37.48,$48.01,$49.90
89,"Architecture and Engineering Occupations - Architects, Surveyors, and Cartographers - Architects, Except Landscape and Naval",2021,100400,$44.19,$44.10,$39.85
90,"Architecture and Engineering Occupations - Architects, Surveyors, and Cartographers - Landscape Architects",2021,17430,$36.05,$44.10,$39.85
