review_id,current_plan_start,days_subscribed,date_reviewed,pay_freq,level,rating,first_level
38538,2022-08-29,229,2023-04-15,Yearly,Premium,2,Free
78458,2022-04-11,279,2023-01-15,,Free,5,Standard
16139,2022-01-19,422,2023-03-17,,Free,3,Premium
88142,2022-02-26,454,2023-05-26,Yearly,Standard,3,Standard
21901,2022-05-27,84,2022-08-19,,Free,4,Premium
27938,2022-02-16,15,2022-03-03,,Free,4,Free
66078,2022-02-08,493,2023-06-16,Yearly,Standard,3,Standard
21569,2022-02-03,214,2022-09-05,,Free,5,Free
58380,2022-10-29,181,2023-04-28,,Free,5,Free
43948,2022-05-08,1,2022-05-09,,Free,4,Free
29484,2022-12-01,6,2022-12-07,Yearly,Standard,3,Standard
63686,2022-07-18,713,2024-06-30,,Free,5,Free
13125,2022-12-25,566,2024-07-13,,Free,4,Free
41971,2022-05-02,298,2023-02-24,Yearly,Standard,3,Free
77882,2022-10-04,36,2022-11-09,Yearly,Premium,2,Premium
31283,2022-07-06,95,2022-10-09,,Free,3,Free
98073,2022-03-27,173,2022-09-16,Monthly,Standard,4,Standard
25179,2022-02-09,152,2022-07-11,,Free,2,Free
53861,2022-12-24,728,2024-12-21,Yearly,Premium,2,Free
62088,2022-05-17,208,2022-12-11,,Free,5,Standard
23524,2022-06-17,574,2024-01-12,,Free,3,Free
57239,2022-03-04,540,2023-08-26,,Free,2,Free
34045,2022-03-17,360,2023-03-12,,Free,4,Free
25923,2022-07-07,572,2024-01-30,Monthly,Premium,5,Premium
77375,2022-10-04,29,2022-11-02,Monthly,Premium,4,Free
71834,2022-12-14,369,2023-12-18,Yearly,Standard,4,Standard
59280,2022-05-10,0,2022-05-10,,Free,5,Free
24791,2022-08-26,736,2024-08-31,,Free,1,Free
11974,2022-02-08,461,2023-05-15,,Free,4,Free
37117,2022-10-13,16,2022-10-29,,Free,4,Free
52750,2022-01-21,11,2022-02-01,,Free,4,Free
52990,2022-10-06,537,2024-03-26,,Free,3,Standard
18019,2022-09-09,38,2022-10-17,Yearly,Standard,4,Standard
77173,2022-09-22,9,2022-10-01,Monthly,Standard,3,Free
75458,2022-06-28,457,2023-09-28,Yearly,Standard,1,Standard
94466,2022-08-05,68,2022-10-12,Monthly,Premium,1,Standard
19264,2022-11-14,54,2023-01-07,,Free,5,Free
36915,2022-06-20,290,2023-04-06,,Free,3,Standard
52804,2022-04-26,112,2022-08-16,Yearly,Premium,5,Premium
25096,2022-09-05,288,2023-06-20,,Free,4,Free
11868,2022-09-14,596,2024-05-02,,Free,3,Free
84124,2022-07-16,114,2022-11-07,Yearly,Premium,3,Free
34025,2022-04-07,596,2023-11-24,,Free,3,Free
90515,2022-02-04,38,2022-03-14,Yearly,Standard,3,Free
80040,2022-10-18,119,2023-02-14,Yearly,Premium,4,Standard
31273,2022-12-03,220,2023-07-11,Yearly,Premium,5,Standard
97820,2022-01-14,2,2022-01-16,Monthly,Premium,5,Premium
81675,2022-05-30,683,2024-04-12,,Free,5,Free
87941,2022-06-03,0,2022-06-03,,Free,2,Standard
67529,2022-08-17,67,2022-10-23,,Free,3,Free
30436,2022-07-23,372,2023-07-30,,Free,4,Free
97451,2022-06-19,4,2022-06-23,Yearly,Premium,5,Premium
18662,2022-06-25,226,2023-02-06,,Free,4,Free
52172,2022-09-30,2,2022-10-02,,Free,5,Free
88583,2022-06-15,25,2022-07-10,,Free,1,Free
37054,2022-08-06,22,2022-08-28,,Free,5,Free
82627,2022-05-07,13,2022-05-20,,Free,4,Free
33335,2022-07-19,123,2022-11-19,Yearly,Premium,3,Premium
30733,2022-08-27,262,2023-05-16,Yearly,Premium,4,Free
40592,2022-07-08,698,2024-06-05,,Free,5,Standard
35925,2022-06-03,300,2023-03-30,,Free,5,Free
15313,2022-03-30,67,2022-06-05,Yearly,Standard,2,Standard
86407,2022-11-23,470,2024-03-07,,Free,5,Standard
10296,2022-10-21,81,2023-01-10,,Free,4,Free
88881,2022-07-22,12,2022-08-03,,Free,5,Standard
30301,2022-09-09,0,2022-09-09,,Free,4,Free
79670,2022-08-30,57,2022-10-26,,Free,5,Free
61869,2022-11-23,385,2023-12-13,,Free,4,Free
58750,2022-09-23,428,2023-11-25,,Free,3,Free
78215,2022-07-25,62,2022-09-25,Yearly,Premium,5,Free
57032,2022-03-28,423,2023-05-25,Monthly,Premium,4,Premium
13322,2022-08-30,291,2023-06-17,,Free,3,Free
31529,2022-03-13,55,2022-05-07,,Free,5,Free
50955,2022-09-01,144,2023-01-23,,Free,1,Free
70739,2022-08-14,18,2022-09-01,,Free,3,Standard
45988,2022-03-10,5,2022-03-15,Yearly,Premium,3,Premium
62865,2022-07-01,146,2022-11-24,Monthly,Premium,3,Free
51003,2022-04-06,686,2024-02-21,,Free,5,Free
63968,2022-12-12,159,2023-05-20,,Free,1,Free
72711,2022-08-06,777,2024-09-21,,Free,2,Free
39668,2022-05-23,633,2024-02-15,Yearly,Standard,5,Standard
86949,2022-02-06,10,2022-02-16,,Free,5,Free
90267,2022-07-11,3,2022-07-14,Yearly,Standard,3,Standard
76838,2022-05-07,31,2022-06-07,,Free,4,Free
52841,2022-07-06,395,2023-08-05,,Free,3,Free
75867,2022-08-10,1,2022-08-11,,Free,4,Free
19318,2022-04-26,538,2023-10-16,Yearly,Standard,3,Free
80311,2022-11-16,65,2023-01-20,Yearly,Premium,4,Premium
73770,2022-03-22,488,2023-07-23,,Free,3,Standard
40933,2022-08-29,78,2022-11-15,,Free,1,Free
48429,2022-07-29,729,2024-07-27,,Free,5,Free
14098,2022-01-18,68,2022-03-27,Yearly,Premium,4,Premium
53274,2022-06-04,1,2022-06-05,Yearly,Standard,4,Premium
89738,2022-06-23,232,2023-02-10,Yearly,Standard,3,Standard
75233,2022-08-04,239,2023-03-31,,Free,2,Free
28141,2022-12-16,3,2022-12-19,,Free,4,Free
42633,2022-10-15,354,2023-10-04,Yearly,Standard,4,Free
94056,2022-06-07,153,2022-11-07,,Free,4,Free
47918,2022-03-24,3,2022-03-27,,Free,5,Free
64999,2022-03-29,514,2023-08-25,,Free,4,Free
92923,2022-08-11,86,2022-11-05,Yearly,Standard,3,Standard
35014,2022-09-16,155,2023-02-18,Yearly,Standard,3,Standard
66786,2022-10-24,597,2024-06-12,Yearly,Premium,4,Standard
76050,2022-01-21,547,2023-07-22,Yearly,Premium,5,Premium
32790,2022-04-28,1,2022-04-29,,Free,1,Free
52571,2022-12-23,200,2023-07-11,,Free,5,Free
15054,2022-04-20,164,2022-10-01,,Free,5,Free
67562,2022-11-05,389,2023-11-29,,Free,5,Standard
99395,2022-08-14,38,2022-09-21,Yearly,Premium,4,Free
89300,2022-04-19,672,2024-02-20,,Free,2,Free
85831,2022-02-12,0,2022-02-12,,Free,5,Free
68782,2022-09-28,48,2022-11-15,,Free,3,Free
72470,2022-08-03,29,2022-09-01,,Free,1,Standard
26740,2022-03-13,155,2022-08-15,Monthly,Premium,5,Premium
15170,2022-05-15,492,2023-09-19,,Free,3,Free
64827,2022-02-06,468,2023-05-20,Yearly,Premium,4,Premium
16147,2022-08-09,612,2024-04-12,,Free,4,Free
40178,2022-12-07,568,2024-06-27,Yearly,Premium,2,Free
51049,2022-07-25,68,2022-10-01,Monthly,Premium,1,Standard
76578,2022-10-22,238,2023-06-17,,Free,4,Standard
60706,2022-11-16,19,2022-12-05,Yearly,Premium,5,Standard
35051,2022-09-29,96,2023-01-03,Yearly,Standard,4,Free
87458,2022-02-16,16,2022-03-04,,Free,4,Free
83512,2022-05-23,50,2022-07-12,Yearly,Premium,2,Premium
61922,2022-03-29,138,2022-08-14,Yearly,Premium,5,Premium
78058,2022-03-10,753,2024-04-01,Yearly,Standard,2,Standard
72435,2022-12-27,179,2023-06-24,Yearly,Standard,2,Standard
24689,2022-06-02,289,2023-03-18,,Free,1,Premium
54994,2022-07-27,46,2022-09-11,,Free,4,Free
87914,2022-01-01,514,2023-05-30,,Free,2,Free
29019,2022-08-24,103,2022-12-05,,Free,5,Free
85680,2022-03-11,226,2022-10-23,,Free,5,Free
67623,2022-02-06,173,2022-07-29,Yearly,Standard,4,Free
69637,2022-04-07,49,2022-05-26,,Free,5,Free
81831,2022-06-07,53,2022-07-30,,Free,4,Free
67066,2022-10-02,67,2022-12-08,,Free,4,Standard
61582,2022-04-17,178,2022-10-12,,Free,4,Standard
62052,2022-04-01,540,2023-09-23,,Free,1,Free
