user_id,timestamp,ad_source,ad_version
U790620,2022-01-01 00:23:33 Saturday,Twitter,A
U584867,2022-01-01 01:30:07 Saturday,Google,B
U128681,2022-01-01 01:30:14 Saturday,TikTok,B
U694898,2022-01-01 01:31:55 Saturday,TikTok,A
U456823,2022-01-01 03:18:25 Saturday,Google,A
U401652,2022-01-01 03:31:56 Saturday,TikTok,A
U831991,2022-01-01 03:54:24 Saturday,Google,B
U366556,2022-01-01 04:05:58 Saturday,Meta,A
U227152,2022-01-01 04:08:03 Saturday,Google,B
U382573,2022-01-01 04:09:31 Saturday,TikTok,A
U814771,2022-01-01 04:12:50 Saturday,Meta,B
U968195,2022-01-01 05:17:46 Saturday,Meta,B
U357173,2022-01-01 05:49:32 Saturday,Twitter,B
U194115,2022-01-01 05:57:09 Saturday,Google,A
U600083,2022-01-01 06:09:33 Saturday,TikTok,B
U447163,2022-01-01 06:37:08 Saturday,Google,B
U929200,2022-01-01 07:16:33 Saturday,TikTok,B
U727313,2022-01-01 08:12:13 Saturday,Twitter,B
U294759,2022-01-01 08:32:23 Saturday,Twitter,A
U660490,2022-01-01 10:03:13 Saturday,Google,B
U807641,2022-01-01 11:13:11 Saturday,Google,B
U797181,2022-01-01 11:36:17 Saturday,TikTok,B
U231512,2022-01-01 12:03:17 Saturday,TikTok,A
U143188,2022-01-01 12:36:02 Saturday,TikTok,B
U533125,2022-01-01 13:02:42 Saturday,Meta,B
U884907,2022-01-01 13:22:31 Saturday,Meta,A
U882176,2022-01-01 13:43:33 Saturday,Google,A
U483248,2022-01-01 13:44:47 Saturday,Google,A
U940224,2022-01-01 14:23:22 Saturday,TikTok,A
U879233,2022-01-01 15:02:40 Saturday,Google,B
U215079,2022-01-01 15:06:32 Saturday,TikTok,B
U597389,2022-01-01 16:16:01 Saturday,Google,B
U880357,2022-01-01 17:47:26 Saturday,Meta,A
U900126,2022-01-01 18:57:50 Saturday,Meta,A
U708463,2022-01-01 19:06:35 Saturday,TikTok,B
U250705,2022-01-01 20:37:47 Saturday,Google,B
U860849,2022-01-01 21:14:07 Saturday,Meta,A
U312588,2022-01-01 22:58:22 Saturday,TikTok,B
U923216,2022-01-01 23:25:09 Saturday,TikTok,B
U232305,2022-01-01 23:31:09 Saturday,Meta,A
U533562,2022-01-02 01:44:07 Sunday,TikTok,B
U780552,2022-01-02 03:01:56 Sunday,TikTok,A
U235139,2022-01-02 04:10:00 Sunday,Meta,A
U947367,2022-01-02 04:25:17 Sunday,TikTok,A
U905318,2022-01-02 04:35:45 Sunday,TikTok,B
U412266,2022-01-02 04:37:52 Sunday,TikTok,B
U223013,2022-01-02 05:07:23 Sunday,Meta,B
U805098,2022-01-02 07:13:48 Sunday,TikTok,B
U986299,2022-01-02 07:47:27 Sunday,Twitter,B
U569738,2022-01-02 07:48:46 Sunday,Meta,B
U675846,2022-01-02 08:02:19 Sunday,Google,A
U533059,2022-01-02 10:08:20 Sunday,Meta,B
U407334,2022-01-02 11:31:02 Sunday,Google,B
U679461,2022-01-02 12:23:03 Sunday,Meta,B
U919567,2022-01-02 12:57:50 Sunday,Twitter,B
U288747,2022-01-02 13:31:45 Sunday,TikTok,A
U699029,2022-01-02 13:53:03 Sunday,Google,A
U575425,2022-01-02 14:18:59 Sunday,Google,B
U614343,2022-01-02 15:37:25 Sunday,Google,A
U942003,2022-01-02 15:48:45 Sunday,TikTok,B
U991365,2022-01-02 16:05:44 Sunday,Google,A
U718445,2022-01-02 17:11:48 Sunday,Google,B
U294547,2022-01-02 17:46:21 Sunday,Google,A
U465528,2022-01-02 18:38:38 Sunday,Twitter,B
U299346,2022-01-02 19:25:46 Sunday,TikTok,B
U462741,2022-01-02 19:55:49 Sunday,Twitter,B
U182945,2022-01-02 20:15:32 Sunday,TikTok,B
U226967,2022-01-02 20:33:40 Sunday,Google,B
U583989,2022-01-02 20:34:08 Sunday,Meta,A
U237255,2022-01-02 22:46:53 Sunday,Meta,A
U619741,2022-01-02 22:48:31 Sunday,Google,B
U737083,2022-01-02 22:49:29 Sunday,Meta,B
U792472,2022-01-02 23:41:19 Sunday,Google,B
U534091,2022-01-02 23:53:04 Sunday,Meta,B
U532019,2022-01-03 00:01:43 Monday,Meta,B
U204646,2022-01-03 00:04:32 Monday,Google,A
U484678,2022-01-03 00:10:18 Monday,Meta,A
U676966,2022-01-03 00:39:32 Monday,Google,B
