user_id,timestamp,device_id,clicked
U790620,2022-01-01 00:23:33 Saturday,M003,False
U584867,2022-01-01 01:30:07 Saturday,M001,False
U128681,2022-01-01 01:30:14 Saturday,M002,True
U694898,2022-01-01 01:31:55 Saturday,M003,False
U456823,2022-01-01 03:18:25 Saturday,M001,False
U401652,2022-01-01 03:31:56 Saturday,T001,False
U831991,2022-01-01 03:54:24 Saturday,M001,False
U366556,2022-01-01 04:05:58 Saturday,M002,False
U227152,2022-01-01 04:08:03 Saturday,M004,True
U382573,2022-01-01 04:09:31 Saturday,M001,False
U968195,2022-01-01 05:17:46 Saturday,T002,False
U357173,2022-01-01 05:49:32 Saturday,P005,False
U194115,2022-01-01 05:57:09 Saturday,T003,False
U600083,2022-01-01 06:09:33 Saturday,P001,True
U447163,2022-01-01 06:37:08 Saturday,M003,True
U929200,2022-01-01 07:16:33 Saturday,M001,False
U727313,2022-01-01 08:12:13 Saturday,P005,False
U294759,2022-01-01 08:32:23 Saturday,M002,False
U660490,2022-01-01 10:03:13 Saturday,T002,False
U807641,2022-01-01 11:13:11 Saturday,T004,False
U797181,2022-01-01 11:36:17 Saturday,P004,False
U322362,2022-01-01 11:41:54 Saturday,P002,False
U231512,2022-01-01 12:03:17 Saturday,T001,False
U143188,2022-01-01 12:36:02 Saturday,M003,False
U533125,2022-01-01 13:02:42 Saturday,T001,True
U882176,2022-01-01 13:43:33 Saturday,None,False
U483248,2022-01-01 13:44:47 Saturday,M002,True
U940224,2022-01-01 14:23:22 Saturday,M002,False
U906114,2022-01-01 14:54:46 Saturday,M003,False
U879233,2022-01-01 15:02:40 Saturday,M001,False
U215079,2022-01-01 15:06:32 Saturday,T003,False
U597389,2022-01-01 16:16:01 Saturday,T001,False
U880357,2022-01-01 17:47:26 Saturday,P006,False
U900126,2022-01-01 18:57:50 Saturday,M002,False
U708463,2022-01-01 19:06:35 Saturday,T002,False
U250705,2022-01-01 20:37:47 Saturday,M004,False
U860849,2022-01-01 21:14:07 Saturday,P006,False
U312588,2022-01-01 22:58:22 Saturday,P005,False
U923216,2022-01-01 23:25:09 Saturday,T001,True
U232305,2022-01-01 23:31:09 Saturday,M002,False
U533562,2022-01-02 01:44:07 Sunday,M001,True
U780552,2022-01-02 03:01:56 Sunday,M001,False
U235139,2022-01-02 04:10:00 Sunday,None,False
U947367,2022-01-02 04:25:17 Sunday,P006,False
U905318,2022-01-02 04:35:45 Sunday,T001,False
U412266,2022-01-02 04:37:52 Sunday,M004,False
U223013,2022-01-02 05:07:23 Sunday,P001,False
U805098,2022-01-02 07:13:48 Sunday,T002,False
U986299,2022-01-02 07:47:27 Sunday,T003,False
U569738,2022-01-02 07:48:46 Sunday,M002,False
U675846,2022-01-02 08:02:19 Sunday,M001,False
U892924,2022-01-02 09:27:29 Sunday,M001,False
U533059,2022-01-02 10:08:20 Sunday,M003,False
U407334,2022-01-02 11:31:02 Sunday,P005,False
U679461,2022-01-02 12:23:03 Sunday,P001,False
U919567,2022-01-02 12:57:50 Sunday,M004,False
U288747,2022-01-02 13:31:45 Sunday,M001,False
U699029,2022-01-02 13:53:03 Sunday,P006,False
U575425,2022-01-02 14:18:59 Sunday,M001,False
U614343,2022-01-02 15:37:25 Sunday,P003,False
U942003,2022-01-02 15:48:45 Sunday,M002,False
U991365,2022-01-02 16:05:44 Sunday,T002,False
U134841,2022-01-02 16:48:57 Sunday,M002,False
U718445,2022-01-02 17:11:48 Sunday,M004,False
U294547,2022-01-02 17:46:21 Sunday,M001,False
U236945,2022-01-02 18:21:37 Sunday,M003,False
U465528,2022-01-02 18:38:38 Sunday,P002,False
U299346,2022-01-02 19:25:46 Sunday,T004,False
U462741,2022-01-02 19:55:49 Sunday,P002,False
U182945,2022-01-02 20:15:32 Sunday,M002,False
U226967,2022-01-02 20:33:40 Sunday,M003,False
U583989,2022-01-02 20:34:08 Sunday,M001,False
U237255,2022-01-02 22:46:53 Sunday,P004,False
U619741,2022-01-02 22:48:31 Sunday,M002,False
U737083,2022-01-02 22:49:29 Sunday,P002,False
U792472,2022-01-02 23:41:19 Sunday,M003,False
U534091,2022-01-02 23:53:04 Sunday,M001,False
U532019,2022-01-03 00:01:43 Monday,M004,False
